instance_id,complexity_percentage,category,solvability_percentage,reasoning
astropy__astropy-7671,30,medium,75,"Only a single file is touched and fewer than 10 functional lines are added. The core change is adding a regex-based sanitiser that strips non-numeric qualifiers (dev, rc, etc.) from the version string before it is passed to distutils.version.LooseVersion, thereby working around a known LooseVersion comparison bug. The logic itself is straightforward and does not require deep architectural knowledge of Astropy, but it does require awareness of Python version-comparison quirks and PEP 440 semantics, which elevates the task above a trivial fix. Given the explicit failure example in the problem statement, an automated agent could reproduce the error locally and infer that normalising the version string or switching to a different parser solves the issue; several workable patches (regex strip, split on non-digits, use packaging.version) are possible, making the search space manageable. Therefore complexity is moderate, and solvability is relatively high."
astropy__astropy-8707,30,medium,85,"The patch spans two source files and adds ~40 lines, mainly to handle Python 3 byte/str distinctions. No new algorithms or data structures are introduced; the change is localized to decoding byte input and adjusting constant types. Understanding ASCII vs unicode in FITS headers and ensuring backward compatibility requires moderate domain knowledge, but the logic itself is straightforward string/bytes handling. The problem statement is explicit about the required behavior (accept both unicode and bytes, decode bytes with latin-1), so the solution space is narrow and well-defined, making it highly achievable for an automated system. Overall complexity is moderate, placing it in the 'medium' category, while the clear requirements and limited scope give it a high solvability score."
astropy__astropy-8872,35,medium,65,"The bug is localized to the dtype-selection logic in the Quantity constructor: float16 values were inadvertently routed through a branch intended for non-float types because the previous predicate relied on numpy.can_cast(np.float32, value.dtype). Fixing it merely required tightening the condition so that only integer (and later object) dtypes trigger the float promotion. The patch touches a single file and fewer than twenty lines, with no algorithmic overhaul or cross-module impact, hence moderate (≈35%) complexity. It still demands an understanding of numpy dtype kinds and of how astropy handles Quantity construction, which moves it beyond a trivial regex change and into the “medium” category. An AI system supplied with the symptom (float16 being upcast) and the surrounding code could plausibly deduce the overly broad condition and refine it, giving a better-than-even solvability likelihood (~65%). However, crafting the exact dtype checks and preserving existing integer/object coercion requires some domain reasoning, preventing a very high solvability score."
django__django-10097,20,easy,85,"The fix consists of a one-line adjustment to a regular expression in a single file. No new functions, algorithms, or cross-module interactions are introduced. The main challenge is understanding that the username/password sub-pattern should exclude the characters "":"", ""@"", and ""/"" and then translating that requirement into a negative character class in the regex. For an AI system, this is a direct mapping from the problem statement to code: replace \S with a more restrictive class ([^\s:@/]). Given the clear description of the bug and expected behavior, plus the minimal scope of the change, the task is straightforward and highly automatable. Some familiarity with regular-expression syntax is required, but no deep domain knowledge or architectural insight is needed."
django__django-10554,60,hard,30,"Although the actual diff is short and affects only two files, it touches the heart of Django’s SQL generation pipeline. Correctly handling ORDER BY clauses in the presence of UNION requires deep understanding of how the ORM maps expressions, aliases, and positional references to SQL. The fix entails detecting when an ORDER BY expression lacks a projection in the SELECT list, dynamically adding that projection, and updating positional indexes—subtle logic that must preserve all existing behaviour across databases. This demands expertise in Django internals, SQL semantics, and compiler.py conventions. An AI working solely from the high-level bug description would struggle to identify the low-level cause and craft a safe solution without extensive integration tests. Therefore the change is reasonably complex (60%) and classified as “hard”, while the likelihood that an AI could autonomously generate the correct patch from the description alone is relatively low (30%)."
django__django-10880,10,easy,90,"The bug is a straightforward string formatting issue: when both DISTINCT and a CASE expression are used in an aggregate, the generated SQL lacks a space, resulting in invalid syntax. Fixing it only requires adding a trailing space to the 'DISTINCT' keyword. The change touches a single line in one file, involves no algorithmic work, and demands only minimal familiarity with SQL and Django’s query compiler. Therefore, complexity is very low. Given the precise problem description that points directly to the missing space and the tiny, localized fix, an automated system or a developer could reliably generate the correct patch with a high probability, yielding a high solvability score."
django__django-10914,5,easy,95,"The fix is a single-line change that replaces a None default with the octal constant 0o644 in Django’s global settings. No algorithms, control flow, or multi-file interactions are involved; only a constant value is updated. The problem statement explicitly spells out the desired change (“Set default FILE_UPLOAD_PERMISSION to 0o644”), so an AI needs minimal context to generate the correct patch. Domain knowledge is limited to understanding Unix file permissions, which is straightforward. Because of the clarity and minimal scope, the task is highly solvable and sits at the very low end of complexity."
django__django-10973,35,medium,80,"The change touches one file and mainly replaces a custom temporary .pgpass-file mechanism with passing PGPASSWORD through subprocess.run’s env argument. No new algorithms are introduced; instead, existing code is simplified (about 40 lines removed, ~5 added). The required knowledge is moderate: familiarity with Python’s subprocess module, environment variable handling, PostgreSQL client behavior, and basic signal management. The problem statement clearly describes what must be done, making the desired patch easy to infer. An AI with code-transformation capability and minimal domain awareness could implement this with high likelihood, so solvability is high. However, it isn’t trivial boilerplate—understanding safety/security implications and retaining signal handling pushes it above ‘easy’, but not into genuinely ‘hard’ territory, resulting in a medium complexity rating."
django__django-10999,20,easy,70,"The change is confined to a single regular expression in one file, replacing three overlapping “-?” modifiers with a single optional sign captured at the start of the time portion. No algorithmic logic or multi-module interactions are involved; only regex syntax knowledge is needed. The problem statement clearly describes the bug, pinpoints the faulty sub-pattern, and even provides the corrected pattern, so an automated system can transform the code with straightforward text manipulation. The main challenge is recognizing how the look-ahead interacts with negative numbers, but this is a localized, well-defined issue. Therefore the task is low in complexity, falls in the 'easy' category, and is highly solvable by an AI given the explicit hint, though not completely trivial (hence 70% rather than >90%)."
django__django-11066,15,easy,85,"The patch touches a single line in one file, changing a method call by adding an existing optional argument (`using=db`). No new algorithms, data structures, or cross-module interactions are introduced. Although it requires awareness of Django’s multi-database API, that knowledge is common for anyone familiar with the framework and can also be inferred from the problem description that explicitly names the fix. Therefore the change is simple and localized (low complexity). Because the desired modification is clearly stated and has only one obvious correct form, an automated system or pattern-matching AI has a high chance of generating the correct solution (high solvability)."
django__django-11087,60,hard,30,"The change is confined to a single file and adds only ~25 lines, but it touches the heart of Django’s cascaded-delete machinery. The patch must respect subtleties of signal dispatching, select_related interaction, and relation introspection, and must calculate the minimal set of columns required for safe deletion. Correctness relies on intimate knowledge of Django’s Collector algorithm, query construction, and model meta-internals; a mistake could silently corrupt data or break signal contracts.

While the problem statement clearly explains the observed failure (UnicodeDecodeError caused by fetching unnecessary columns), devising the precise fix requires understanding why those columns are fetched, how to defer them safely, and when it is illegal to do so (e.g., when delete signals are present). An AI would need to reason about all these edge cases and craft the chain/only logic accordingly, which is significantly harder than a straightforward bugfix. Therefore, the task is complex (60%), categorized as hard, and has a relatively low but non-zero solvability score (30%)."
django__django-11095,15,easy,85,"The change involves adding a single hook method (get_inlines) that simply returns an existing attribute by default, and modifying one line so that get_inline_instances uses this new hook. Only one file is touched with a net change of a few lines and no algorithmic complexity. It requires minimal knowledge of Django’s admin internals and follows a common hook-pattern seen elsewhere in the codebase, so an AI can infer the exact modification from the problem statement alone. The absence of a test patch lowers certainty slightly, but the task is still well-defined and highly solvable."
django__django-11099,10,easy,85,"The fix involves a two-line change in a single file, replacing the regex end-of-line token '$' with '\Z'. No algorithmic work or architectural understanding is needed—just knowledge that '$' accepts a trailing newline in Python regexes. The problem statement explicitly explains both the bug and the exact replacement pattern, so an AI can reliably perform a text substitution after locating the validator definitions. Thus complexity is minimal and solvability is high."
django__django-11119,12,easy,88,"The patch touches a single file and adds one argument to an existing constructor call. No new algorithms or structural changes are introduced. The problem statement explicitly describes the root cause (autoescape flag not forwarded) and implicitly the solution (pass autoescape=self.autoescape when creating the Context). Generating this fix only requires locating the relevant line and understanding that Context accepts an autoescape parameter—basic familiarity with Django templates, not deep architectural insight. Given the clarity of the description and the minimal code modification, an automated system or even simple pattern-matching logic could reliably produce the correct fix, hence the high solvability score. The task is straightforward, with negligible algorithmic or integration complexity."
django__django-11133,15,easy,90,"The fix involves adding `memoryview` to an `isinstance()` check so that Django’s HttpResponse converts memoryview objects to raw bytes the same way it already handles bytes. Only one line in one file is changed, no algorithms or cross-module effects are introduced, and the desired behavior is clearly spelled out in the problem statement. Generating this patch mainly requires recognizing that `bytes(memoryview_obj)` yields the needed data and updating the conditional accordingly. Because the change is minimal, well-scoped, and the required Python behavior is well-known, an automated system could reliably propose the correct modification, leading to a high solvability score and a low complexity rating."
django__django-11138,55,hard,45,"The fix spans three different database backends (MySQL, Oracle, SQLite) and alters both Python-level helpers and SQL generated strings. Although the individual edits are small, they require solid understanding of Django’s timezone handling rules, the DB-specific SQL syntax (CONVERT_TZ, FROM_TZ, SQLite UDFs), and how connection.timezone_name is populated. Propagating the connection time zone into SQLite’s UDFs and changing their call signatures adds hidden coupling that isn’t obvious from the symptom description alone. An implementer must search multiple files, ensure no regressions in non-tz scenarios, and keep behaviour consistent across backends. These cross-cutting, framework-specific adjustments push the task beyond simple pattern replacement. While the bug is clearly described, crafting a comprehensive patch without running Django’s extensive test suite is challenging, giving a moderate likelihood that an AI could succeed but not high certainty."
django__django-11141,38,medium,62,"The change touches only one method in a single file and removes a guard that incorrectly rejected namespace-style migration packages. No new algorithms are introduced; the fix is essentially deleting an obsolete check and slightly adjusting the logic that classifies apps as migrated/unmigrated. Nevertheless, the developer must understand Python’s packaging rules (difference between __file__ and __path__, implicit namespace packages) and how Django’s migration loader uses those attributes. That domain insight elevates the difficulty above ‘easy’, but the code modification itself is short and isolated, so overall complexity is moderate. An AI that parses the problem statement—where the cause (unused __file__ check) and desired behaviour are explicitly described—could reasonably infer that the check should be removed and the migrated/unmigrated classification updated, giving a better than even chance (~62%) of producing the correct patch."
django__django-11149,40,medium,45,"The change touches a single core framework file (django.contrib.admin.options) and modifies permission-checking logic for auto-created many-to-many through models. Although only ~40 lines are altered, understanding why view-only users could edit inlines demands knowledge of Django’s permission model, the special case of implicitly generated through tables, and how the admin resolves permissions. Implementing the fix involves writing a helper to map from the implicit model back to the actual target model and updating four permission methods consistently. No complicated algorithms are needed, but the patch must integrate with Django’s existing permission codename utilities and uphold the guarantee that ‘change’ implies ‘view’. An AI could infer the need to tighten permission checks from the description, yet identifying the correct place to intervene and the nuances of related/add/change/delete logic without failing other edge cases is non-trivial, giving a moderate solvability score."
django__django-11163,10,easy,85,"Only one line of code is modified in a single file. The fix replaces a truthiness check with an explicit None comparison, a common Python pattern to distinguish between an empty list and the absence of a value. No algorithmic changes, data structure adjustments, or multi-module interactions are involved. The required domain knowledge is minimal: understanding how Python evaluates empty sequences as False and knowing the expected behavior of Django’s model_to_dict helper. The problem statement explicitly points out the faulty line and suggests the correct condition, so an automated system or a developer can implement the patch with little effort. Therefore, the task is low in complexity, falls into the ""easy"" category, and is highly solvable given the clarity of the requirement."
django__django-11179,15,easy,90,"The fix consists of adding a single line that sets the primary-key attribute of a model instance to None after it has been fast-deleted. Only one file is touched and no algorithmic changes are involved; the change is a straightforward state update following the deletion. Although basic familiarity with Django’s ORM internals is helpful, the required domain knowledge is minimal because the problem statement explicitly points to the exact line to modify and describes the expected behaviour. Therefore the task is low in complexity and highly solvable by an automated system."
django__django-11206,18,easy,82,"The fix touches a single function in one file and adds about 8 lines of straightforward logic. It only requires checking whether the absolute value of the Decimal is smaller than 10^-decimal_pos and, if so, replacing it with zero. There is no intricate algorithm, no interaction with other parts of the framework, and no need for deep architectural insight. An AI model that understands basic string/Decimal manipulation and the semantics of decimal_pos could infer this solution from the clearly stated problem description and examples, especially because the desired behavior (render the value as 0.00… when it is too small) is explicitly spelled out. Therefore the task is low-complexity (≈18%), falls in the ""easy"" category, and has a high likelihood of being solved correctly by automated code generation (≈82%)."
django__django-11211,20,medium,55,"The patch touches a single file and adds only three lines of functional code, so the code-change itself is simple (≈20% complexity). However, deciding to override UUIDField.get_prep_value to coerce incoming strings to Python UUID objects requires understanding how Django’s GenericForeignKey, prefetch_related, and field preparation pipeline interact—knowledge that is not obvious from the symptom alone. Therefore the task is classified as “medium”: the fix is tiny once the root cause is known, but finding that root cause calls for moderate framework expertise. From an automated-repair perspective, the clear bug description and the small search space give a reasonable chance for an AI to guess the solution, yet the need for specific Django internals knowledge lowers the probability. An estimated 55% solvability reflects this balance: feasible but far from trivial."
django__django-11239,15,easy,90,"The patch touches a single file and adds a handful of straightforward lines that pull additional SSL-related parameters from the database connection dictionary and expose them as environment variables before spawning the psql shell. No algorithmic work, data structure changes, or multi-module interactions are required. Understanding that psql reads its SSL settings from environment variables is minor domain knowledge and well-documented. Because the problem statement explicitly lists the missing parameters and states that the fix is trivial, an AI could confidently pattern-match the existing handling of password to replicate it for the four SSL parameters. The solution space is very small and unambiguous, leading to high solvability with low complexity."
django__django-11265,55,hard,40,"Although the final fix touches only a single file with a small diff, the change occurs deep inside Django’s ORM query-generation layer. Correctly repairing the bug requires understanding how the ORM builds sub-queries, propagates FilteredRelation metadata via the private _filtered_relations mapping, and later optimizes the resulting JOIN tree in trim_start(). Simply reproducing the stack-trace message is easy, but identifying that exclude() creates a fresh Query object which silently loses filtered-relation information—and that join-trimming must also respect filtered-relation INNER JOINs—demands intimate knowledge of Django internals. There are no algorithmically heavy additions, yet the conceptual coupling between filtered relations, alias maps, join types, and subquery generation elevates difficulty. An automated system relying mainly on pattern matching would likely copy the _filtered_relations attribute (the obvious hint in the user’s analysis) but could miss the second, subtler change preventing incorrect join trimming, leading to silent logical errors. Hence the task is complex (≈55%), falls in the “hard” category, and an AI has a moderate but less-than-even chance (≈40%) of producing the full, correct patch from the problem description alone."
django__django-11276,22,easy,88,"The change touches a single module and primarily consists of removing a hand-rolled escape/unescape implementation and delegating to the Python stdlib html.escape()/html.unescape(). No new algorithms or cross-module interactions are introduced, and the behavioral difference (&#39; vs &#x27;) is documented in the problem statement. Implementing the fix requires minimal code edits: import the html module, delete a mapping constant, update two function bodies, and replace a few call sites. An AI system only needs basic knowledge of the stdlib and string handling to generate this patch, making the task highly solvable. The low line count and absence of complex logic keep the overall complexity small."
django__django-11292,20,easy,90,"Only one file is modified with about a dozen lines changed. No new algorithms or deep architectural knowledge are required—just wiring an existing stealth option into the public CLI. The tasks (adding an argument, adjusting a constant set, and tweaking one conditional) are straightforward and largely mechanical once the developer understands Django’s management-command pattern. An AI could reliably infer all necessary edits from the problem statement because the desired behavior (expose --skip-checks) is explicitly described. The main challenges are minor: knowing to drop skip_checks from base_stealth_options and updating execute() to access the option safely. Overall complexity is low and the solution space is narrowly constrained, so solvability is high."
django__django-11299,30,medium,65,"The patch touches a single file and consists of adding one argument to a recursive call, so the code change itself is small. However, it sits in Django’s core query-construction logic and affects how CheckConstraint SQL is generated, which requires understanding of ORM internals, the difference between Col and SimpleCol, and how the simple_col flag must propagate through nested Q objects. Identifying that the bug stems from the flag being lost during recursion demands reading several layers of code and understanding the interaction between AND/OR connectors, giving the task moderate complexity rather than trivial. Because the problem description is clear, reproducible, and pinpoints the symptom, and the fix is localized once the root cause is found, an automated system with access to tests and code could plausibly discover the missing parameter. Therefore the solvability is judged better than average but not trivial."
django__django-11333,-1,error,-1,Failed to parse response
django__django-11400,45,medium,60,"The fix touches three core files (admin filters and two model field modules) and changes several functions that interact across the Django admin and ORM layers. While no sophisticated algorithms are introduced, understanding why an empty order_by() call removes Meta.ordering and how to preserve/override it requires moderate knowledge of Django’s internals. The solution introduces a small helper, propagates ordering correctly, and adjusts queryset construction to avoid wiping out default ordering. This cross-cutting awareness elevates complexity beyond a simple typo but remains short of major architectural work. Given the clear problem description that points to the exact faulty lines and explains the intended behavior, an AI with reasonable Django knowledge could deduce the required changes, though it must recognize the subtle effect of order_by(*())—making the task achievable but not trivial."
django__django-11433,30,medium,70,"The change touches a single function in one file and only adds a concise condition to an existing if-statement. No new algorithms or structural refactoring are involved, so overall technical complexity is low-to-moderate. However, understanding why the additional check is needed requires familiarity with Django’s ModelForm construction rules, default model values, widget behavior for omitted data, and the meaning of `empty_values`. That domain context lifts the task slightly above a trivial patch, placing it in the “medium” category.

For an automated system, the specification is fairly clear: defaults should only be preserved when the field is omitted AND the cleaned data is empty; otherwise, cleaned_data should overwrite the default. Once the relevant code path is located, adding the extra condition is straightforward. The presence of a well-defined boolean logic issue, limited code surface, and deterministic fix make it quite solvable, leading to a solvability estimate of about 70%."
django__django-11451,15,easy,90,"The change touches one file and adds only two lines that introduce an early-return guard. No new algorithms, data structures, or cross-module interactions are involved. The required domain knowledge is minimal: understanding that neither username nor password should be null before hitting the database. The problem statement is explicit about both the bug (unnecessary query) and the desired fix (shortcut when either credential is None), so an automated system can map the requirement directly to code. Edge-case considerations and timing-attack mitigation are acknowledged but do not complicate the implementation. Consequently, the task is straightforward, and an AI with basic comprehension of Python and Django conventions could reliably generate the correct patch."
django__django-11477,15,easy,80,"Only one line is modified in a single file. The fix consists of filtering out dictionary entries whose value is None, preventing optional but unmatched named capturing groups from being passed downstream. No new algorithm or cross-module interaction is introduced; it’s a straightforward conditional removal. An engineer (or an AI) only needs to understand that re.Match.groupdict() sets None for unmatched optional groups and that those should be removed before using the kwargs. This requires basic familiarity with Python’s regex API and Django URL resolvers, but no deep framework knowledge. Because the required change is minimal and the incorrect behaviour is well described, the likelihood that an automated system could propose the correct patch is high."
django__django-11490,35,medium,50,"Code-wise, the fix is a single-line addition in one file, so algorithmic and structural complexity is low. However, understanding why that line is necessary requires moderate knowledge of Django’s ORM internals—specifically how Query objects get mutated during UNION/VALUES processing and why shared state across compilers causes subsequent values()/values_list() calls to behave incorrectly. An AI must recognize that the correct remedy is to clone the Query to avoid side-effects, not simply reset or clear attributes. This demands insight into object mutability patterns and the requirement that combined queries stay independent. While the change itself is small, deducing it from the symptom described in the problem statement is non-trivial but still achievable with logical reasoning and familiarity with Django, leading to a medium difficulty rating and a solvability probability of about 50%."
